,project_id,state,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,funded_locations,funded_cai,dominant_technology,avg_download_speed,avg_upload_speed,state_num_providers
0,CM61-BEAD-AL-1,AL,2629267.7,8.0,38.0,0.0,L,True,366,0,50.0,5000.0,5000.0,13
1,CM61-BEAD-AL-10,AL,606229.99,9.0,4.0,0.0,L,True,142,0,50.0,1000.0,1000.0,13
2,CM61-BEAD-AL-11,AL,19908009.0,204.0,36.0,50.0,L,True,2006,15,50.0,2000.0,2000.0,13
3,CM61-BEAD-AL-12,AL,138750.0,0.0,0.0,0.0,L,False,160,0,61.0,100.0,20.0,13
4,CM61-BEAD-AL-4,AL,1540000.0,13.0,32.0,0.0,L,True,154,0,50.0,5000.0,5000.0,13
5,CM61-BEAD-AL-14,AL,1821711.0,31.0,5.0,56.0,L,True,947,13,50.0,1000.0,1000.0,13
6,CM61-BEAD-AL-15,AL,20547945.0,181.0,35.0,50.0,L,True,2066,11,50.0,1994.6757018393027,1994.6757018393027,13
7,CM61-BEAD-AL-16,AL,2071855.0,107.0,6.0,2.0,L,True,349,2,50.0,2000.0,2000.0,13
8,CM61-BEAD-AL-8,AL,10302719.64,120.0,180.0,5.0,L,True,1231,38,50.0,2000.0,2000.0,13
9,CM61-BEAD-AL-18,AL,22812894.56,449.0,79.0,8.0,L,True,3149,13,50.0,2000.0,2000.0,13
10,CM61-BEAD-AL-19,AL,2892574.0,1.0,44.0,5.0,L,True,514,0,50.0,1000.0,1000.0,13
11,CM61-BEAD-AL-2,AL,29835625.15,189.0,1387.0,47.0,L,True,9984,40,50.0,2000.0,2000.0,13
12,CM61-BEAD-AL-20,AL,317250.0,0.0,0.0,0.0,L,False,406,0,61.0,100.0,20.0,13
13,CM61-BEAD-AL-21,AL,3705174.0,125.0,16.0,5.0,L,True,466,0,50.0,2000.0,2000.0,13
14,CM61-BEAD-AL-13,AL,7790000.0,20.0,112.0,0.0,L,True,779,0,50.0,5000.0,5000.0,13
15,CM61-BEAD-AL-23,AL,9509519.58,140.0,60.0,0.0,L,True,1093,0,50.0,1000.0,1000.0,13
16,CM61-BEAD-AL-22,AL,3679632.0,27.0,69.0,0.0,L,True,368,0,50.0,5000.0,5000.0,13
17,CM61-BEAD-AL-25,AL,2601109.45,15.0,34.0,2.0,L,True,263,0,50.0,10000.0,10000.0,13
18,CM61-BEAD-AL-26,AL,5072861.0,21.0,64.0,5.0,L,True,865,0,50.0,1000.0,1000.0,13
19,CM61-BEAD-AL-27,AL,10848841.04,597.0,105.0,10.0,L,True,1383,14,50.0,2000.0,2000.0,13
20,CM61-BEAD-AL-17,AL,7712060.0,134.0,119.0,5.0,L,True,1042,32,50.0,2000.0,2000.0,13
21,CM61-BEAD-AL-29,AL,2536208.0,122.0,12.0,5.0,L,True,396,10,50.0,2000.0,2000.0,13
22,CM61-BEAD-AL-3,AL,6196425.0,0.0,98.0,5.0,L,True,864,0,50.0,1000.0,1000.0,13
23,CM61-BEAD-AL-30,AL,2686739.13,23.0,1.0,1.0,L,True,320,10,50.0,1000.0,1000.0,13
24,CM61-BEAD-AL-31,AL,6371720.05,91.0,1.0,1.0,L,True,729,11,50.0,1000.0,1000.0,13
25,CM61-BEAD-AL-32,AL,1870990.0,108.0,12.0,7.0,L,True,680,3,50.0,2000.0,2000.0,13
26,CM61-BEAD-AL-28,AL,11611650.0,84.0,126.0,5.0,L,True,1194,27,50.0,2000.0,2000.0,13
27,CM61-BEAD-AL-34,AL,251250.0,0.0,0.0,0.0,L,False,260,0,61.0,100.0,20.0,13
28,CM61-BEAD-AL-24,AL,14453640.0,48.0,203.0,0.0,L,True,1487,0,50.0,5000.0,5000.0,13
29,CM61-BEAD-AL-33,AL,14286209.0,206.0,309.0,5.0,L,True,2585,29,50.0,2000.0,2000.0,13
30,CM61-BEAD-AL-37,AL,5889918.97,55.0,9.0,35.0,L,True,658,11,50.0,2000.0,2000.0,13
31,CM61-BEAD-AL-35,AL,9277793.44,139.0,197.0,0.0,L,True,1542,0,50.0,5000.0,5000.0,13
32,CM61-BEAD-AL-39,AL,2635500.0,0.0,56.0,0.0,L,True,251,0,50.0,1000.0,1000.0,13
33,CM61-BEAD-AL-38,AL,9936916.0,75.0,206.0,0.0,L,True,1132,0,50.0,5000.0,5000.0,13
34,CM61-BEAD-AL-40,AL,3711922.0,0.0,58.0,5.0,L,True,531,0,50.0,1000.0,1000.0,13
35,CM61-BEAD-AL-41,AL,3755894.06,56.0,1.0,1.0,L,True,425,17,50.0,1000.0,1000.0,13
36,CM61-BEAD-AL-42,AL,1634280.0,7.0,17.0,5.0,L,True,251,1,50.0,10000.0,10000.0,13
37,CM61-BEAD-AL-36,AL,8832315.48,78.0,117.0,5.0,L,True,1190,21,40.0,2000.0,2000.0,13
38,CM61-BEAD-AL-44,AL,23952872.02,477.0,84.0,12.0,L,True,3395,16,50.0,2000.0,2000.0,13
39,CM61-BEAD-AL-45,AL,4486573.32,38.0,139.0,0.0,L,True,862,0,50.0,5000.0,5000.0,13
40,CM61-BEAD-AL-46,AL,194503.51,9.0,17.0,0.0,L,True,105,0,50.0,5000.0,5000.0,13
41,CM61-BEAD-AL-47,AL,4794710.21,44.0,1.0,1.0,L,True,975,11,50.0,1000.0,1000.0,13
42,CM61-BEAD-AL-48,AL,2386271.0,180.0,20.0,20.0,L,True,1804,12,50.0,2000.0,2000.0,13
43,CM61-BEAD-AL-49,AL,498000.0,0.0,0.0,0.0,L,False,431,0,61.0,100.0,20.0,13
44,CM61-BEAD-AL-5,AL,6511050.06,100.0,43.0,0.0,L,True,1271,0,50.0,1000.0,1000.0,13
45,CM61-BEAD-AL-50,AL,12042888.0,0.0,715.0,11.0,L,True,4538,10,50.0,2000.0,2000.0,13
46,CM61-BEAD-AL-51,AL,1122740.36,56.0,101.0,0.0,L,True,639,0,50.0,5000.0,5000.0,13
47,CM61-BEAD-AL-52,AL,8170000.0,65.0,140.0,0.0,L,True,817,0,50.0,5000.0,5000.0,13
48,CM61-BEAD-AL-43,AL,30602736.0,504.0,591.0,5.0,L,True,5295,113,50.0,2000.0,2000.0,13
49,CM61-BEAD-AL-54,AL,6607419.7,72.0,2.0,1.0,L,True,739,10,50.0,1000.0,1000.0,13
50,CM61-BEAD-AL-55,AL,4679532.0,41.0,65.0,0.0,L,True,468,0,50.0,5000.0,5000.0,13
51,CM61-BEAD-AL-56,AL,761250.0,0.0,0.0,0.0,L,False,848,0,61.0,100.0,20.0,13
52,CM61-BEAD-AL-53,AL,16609082.0,181.0,271.0,5.0,L,True,2172,15,50.0,2000.0,2000.0,13
53,CM61-BEAD-AL-58,AL,5050000.0,45.0,82.0,0.0,L,True,505,0,50.0,5000.0,5000.0,13
