feature,r2,delta_r2,rmse,mae
miles_per_location,0.6910093906229433,-0.03344586176152964,3586.5791693882657,1982.8880268821415
POPDEN_RUR_wmean,0.7053152766060391,-0.01913997577843385,3685.6749864232625,1918.6253300747371
n_total,0.7162052998061883,-0.008249952578284647,3663.104344922983,1877.4881723485298
pct_cai,0.7191376636557119,-0.005317588728761091,3482.7148570621766,1851.2697056209363
poverty_rate_wmean,0.7192624952620535,-0.0051927571224194,3470.9932354123853,1841.526606423037
pct_aerial,0.7196722890710046,-0.004782963313468391,3496.314165556319,1861.603421378541
frac_present_at_location,0.721193352918567,-0.0032618994659059375,3491.2450913837647,1844.4881329891184
no_prior_presence_frac,0.722688995591602,-0.0017662567928709016,3488.661596079549,1841.9416154823857
rucc_code_wmean,0.7227412981171545,-0.0017139542673184627,3467.1326820261224,1836.9666761822905
frac_tech_71,0.7230839171051627,-0.0013713352793102151,3487.748564900505,1840.8763488238249
nearest_mi_served_any,0.7235344281962088,-0.0009208241882641133,3481.90602843496,1834.9622842765077
POPDEN_COU_wmean,0.7236258605007383,-0.0008293918837346537,3458.4149444631225,1835.726550233447
nearest_mi_served_same_isp,0.7242942722473079,-0.00016098013716503434,3478.839247179691,1836.3845248346736
prov_coverage,0.7254052909163349,0.0009500385318619298,3487.74062734216,1832.3521047131721
frac_wired_qualifying,0.7256808703863804,0.001225618001907458,3444.2692009786197,1823.4916694379463
frac_tech_50,0.7266980523270102,0.002242799942537288,3476.0390849424657,1838.8669361379357
frac_tech_40,0.7268050498659471,0.002349797481474125,3471.3124447956116,1837.5149809503391
frac_tech_61,0.7289151813341296,0.004459928949656633,3475.1385417409333,1831.700508002963
frac_competitor_qualifying,0.729468841983947,0.0050135895994740665,3390.013797420342,1810.750735629686
