feature,pretty,gini,shap
miles_per_location,miles_per_loc,0.19679651839911766,0.2426620121262698
frac_tech_61,frac_tech_61 (fiber),0.07938703259131212,0.15459137956378438
frac_tech_50,frac_tech_50,0.10013837811675975,0.11979434627852832
POPDEN_RUR_wmean,rur_popden,0.07640079886068535,0.061835359540113224
nearest_mi_served_same_isp,nearest_own_mi,0.05019565489242164,0.059683910517889856
n_total,n_total,0.08039881171802195,0.05963548831880855
no_prior_presence_frac,no_prior_presence,0.03940583710397519,0.05288231383357512
POPDEN_COU_wmean,cou_popden,0.07914801973243468,0.03201203853703533
poverty_rate_wmean,poverty_rate,0.0457761046202288,0.025621316395117534
pct_cai,pct_cai,0.01638363290750967,0.023917724838151643
frac_competitor_qualifying,frac_q_comp,0.03905179528949246,0.023697933787348486
nearest_mi_served_any,nearest_any_mi,0.031979907898534526,0.023289320956562283
frac_present_at_location,frac_presence,0.02971389821152803,0.02315892969878609
prov_coverage,isp_coverage,0.029211414259091822,0.021113408210581178
pct_aerial,pct_aerial,0.02397183260600005,0.02023323776136371
rucc_code_wmean,rucc_code,0.03643136152699969,0.01940326042726856
frac_tech_71,frac_tech_71 (FW),0.01999164658509463,0.017957827852429345
frac_wired_qualifying,frac_q_wired,0.024297904117173048,0.017933297989663227
frac_tech_40,frac_tech_40,0.0013194505636188918,0.0005768933667233575
